,Etot,1-4EEL,EELEC,EGB,ESURF,name,,
0,-9499.3955,7189.5223,-13366.9577,-3378.1703,56.2103,1a1e-pro-gb.txt,1a1e,
0,-6881.3365,8949.8465,-13675.6929,-2204.7807,49.2906,1a30-pro-gb.txt,1a30,
0,-50847.0705,63655.6987,-98137.7363,-16584.9029,219.87,1a69-pro-gb.txt,1a69,
0,-71234.9611,57046.8798,-116473.3084,-12077.7851,269.2525,1a8i-pro-gb.txt,1a8i,
0,-24714.0074,33258.4787,-50167.3662,-7936.5222,131.4023,1a99-pro-gb.txt,1a99,
0,-13547.1296,16055.5491,-25074.9721,-4595.1772,67.4707,1add-pro-gb.txt,1add,
0,-52159.2951,65270.896,-105183.9682,-12508.3237,262.1008,1ado-pro-gb.txt,1ado,
0,-4850.7452,5496.9524,-8584.8641,-1798.2246,35.391,1afl-pro-gb.txt,1afl,
0,-29265.3379,32022.0453,-55168.0693,-6258.7753,139.4613,1ai7-pro-gb.txt,1ai7,
0,-7116.9922,8758.3795,-13895.4728,-2028.8974,48.9985,1ajv-pro-gb.txt,1ajv,
0,-7142.5274,8673.5864,-13861.7579,-2003.3651,49.0092,1ajx-pro-gb.txt,1ajx,
0,-17746.2319,18481.895,-30080.5129,-6242.0664,94.4524,1amw-pro-gb.txt,1amw,
0,-9784.016,15933.2141,-19691.0842,-6089.62,63.4742,1apv-pro-gb.txt,1apv,
0,-15513.1617,22328.2456,-31535.8612,-6404.6579,99.1117,1ax0-pro-gb.txt,1ax0,
0,-20217.4942,23900.4167,-39251.6786,-4962.8411,96.6088,1b05-pro-gb.txt,1b05,
0,-20285.153,23900.6632,-39199.4058,-5085.4065,98.9961,1b0h-pro-gb.txt,1b0h,
0,-20075.9155,23851.1878,-39200.5096,-4824.9383,98.3445,1b1h-pro-gb.txt,1b1h,
0,-20101.6636,23775.4293,-38899.7973,-5074.9893,97.6937,1b32-pro-gb.txt,1b32,
0,-20250.6592,23940.6488,-39308.2121,-4981.7676,98.6717,1b3g-pro-gb.txt,1b3g,
0,-20234.5524,23907.1523,-39213.3636,-5026.5113,98.1701,1b3h-pro-gb.txt,1b3h,
0,-20118.5491,23799.1451,-38748.8743,-5269.2855,100.4655,1b3l-pro-gb.txt,1b3l,
0,-20162.7999,23916.148,-39104.0994,-5071.8682,97.0197,1b40-pro-gb.txt,1b40,
0,-20208.1851,23921.7141,-38972.9207,-5254.5493,97.5707,1b46-pro-gb.txt,1b46,
0,-20258.9618,23879.5178,-39173.0096,-5064.0261,98.5561,1b51-pro-gb.txt,1b51,
0,-20058.4306,23693.9984,-39010.0434,-4839.6677,97.2821,1b52-pro-gb.txt,1b52,
0,-27493.5841,25806.1045,-39193.9786,-14273.3345,167.6245,1b55-pro-gb.txt,1b55,
0,-20070.9852,23867.1669,-39248.5137,-4787.524,97.8855,1b5i-pro-gb.txt,1b5i,
0,-20035.7264,23808.4649,-38967.1425,-4973.9504,96.9016,1b5j-pro-gb.txt,1b5j,
0,-20196.8492,23894.0215,-39155.5656,-5032.6935,97.3884,1b6h-pro-gb.txt,1b6h,
0,-20161.5901,23854.5907,-39049.6041,-5065.3917,98.815,1b7h-pro-gb.txt,1b7h,
0,-11518.8264,10260.7156,-18983.1797,-2855.3106,58.9482,1b8n-pro-gb.txt,1b8n,
0,-20058.8089,23796.9714,-38915.6423,-5038.7556,98.6176,1b9j-pro-gb.txt,1b9j,