,Etot,VDWAALS,EELEC,EPB,ECAVITY,name,
0,-18709.7101,-1951.58,-13515.0036,-3299.6378,56.513,1a1e-complex-pb.txt,1a1e
0,-18090.8822,-1837.56,-14162.5719,-2138.9014,48.1538,1a30-complex-pb.txt,1a30
0,-128198.1561,-13930.18,-98270.9992,-16216.0541,219.0797,1a69-complex-pb.txt,1a69
0,-145503.53,-17386.06,-116547.7743,-11838.225,268.5345,1a8i-complex-pb.txt,1a8i
0,-62803.6419,-5129.36,-50178.4584,-7626.8767,131.0575,1a99-complex-pb.txt,1a99
0,-32926.8974,-3585.81,-25131.7093,-4276.2045,66.8278,1add-complex-pb.txt,1add
0,-131592.528,-14300.44,-105277.3469,-12276.621,261.8804,1ado-complex-pb.txt,1ado
0,-7821.5457,2171.69,-8275.5757,-1752.7395,35.0705,1afl-complex-pb.txt,1afl
0,-68880.5771,-7693.83,-55160.6492,-6165.3147,139.2221,1ai7-complex-pb.txt,1ai7
0,-17803.8824,-1822.79,-14133.4049,-1894.8397,47.1622,1ajv-complex-pb.txt,1ajv
0,-17663.3926,-1823.4,-14014.2458,-1872.9273,47.1808,1ajx-complex-pb.txt,1ajx
0,-39926.4538,-4144.54,-29688.6693,-6186.7564,93.5172,1amw-complex-pb.txt,1amw
0,-28002.5941,-2215.14,-19939.9608,-5909.2662,61.7734,1apv-complex-pb.txt,1apv
0,-42315.3529,-4539.74,-31696.8482,-6177.5676,98.806,1ax0-complex-pb.txt,1ax0
0,-48858.9213,-4560.81,-39649.2574,-4744.2002,95.3518,1b05-complex-pb.txt,1b05
0,-48897.2604,-4554.66,-39589.0138,-4851.0394,97.4554,1b0h-complex-pb.txt,1b0h
0,-48855.9911,-4646.84,-39671.8784,-4634.0485,96.7852,1b1h-complex-pb.txt,1b1h
0,-48708.5731,-4657.53,-39297.6196,-4849.7256,96.3047,1b32-complex-pb.txt,1b32
0,-48887.348,-4546.33,-39683.3306,-4754.9735,97.2888,1b3g-complex-pb.txt,1b3g
0,-48964.8459,-4570,-39681.224,-4810.3221,96.7008,1b3h-complex-pb.txt,1b3h
0,-48613.2932,-4502.61,-39137.8074,-5072.1742,99.3029,1b3l-complex-pb.txt,1b3l
0,-48828.9629,-4576.59,-39497.3796,-4850.7194,95.735,1b40-complex-pb.txt,1b40
0,-48844.7017,-4569.35,-39329.132,-5042.5158,96.3005,1b46-complex-pb.txt,1b46
0,-48836.2156,-4546.42,-39535.9748,-4851.121,97.3015,1b51-complex-pb.txt,1b51
0,-48507.1426,-4520.54,-39462.5247,-4620.0567,95.9799,1b52-complex-pb.txt,1b52
0,-58674.4501,-5186.05,-39540.0328,-14115.6113,167.2484,1b55-complex-pb.txt,1b55
0,-48774.8921,-4656.79,-39639.8421,-4574.8174,96.5599,1b5i-complex-pb.txt,1b5i
0,-48684.9227,-4660.5,-39384.6351,-4735.3125,95.5269,1b5j-complex-pb.txt,1b5j
0,-48809.2969,-4567.23,-39536.1422,-4801.9803,96.0597,1b6h-complex-pb.txt,1b6h
0,-48732.8132,-4560.42,-39443.8296,-4826.0052,97.4466,1b7h-complex-pb.txt,1b7h
0,-24475.6662,-2676.87,-19065.1712,-2791.9346,58.3152,1b8n-complex-pb.txt,1b8n
0,-48657.3749,-4637.47,-39302.6602,-4814.3617,97.1183,1b9j-complex-pb.txt,1b9j